titres,synopsis,resume
Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment, the fate of Earth and existence has never been more uncertain.Written byMarvel Studios",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Kaakkaa Muttai,"It is all about the life and times of two kids Periya Kakka Muttai (Vignesh) and his younger brother Chinna Kaaka Muttai (Ramesh) growing up in a slum, who make their living stealing coal from the railway yard. Their father is in the jail while mother (Ishwarya Rajesh) brings them up. The urchins have their own dreams like any other kids and here, they want to try out a Pizza from the newly opened Pizza shop. Their curiosity about pizza is because, the new shop is opened by Tamil star Silambarasan. They decide that by hook or crook, they will gain entry into the upmarket Pizza shop and have a slice of it with their own money. Will they succeed in their attempt ?Written byRahul",Two slum kids yearn to taste a pizza after being enticed by the pizza shop that has opened near their locality. What happens when they mange to find the money to buy one?
Ulidavaru Kandanthe,"Malpe is a small fishing town on the Arabian Coast, located 6 kilometers to the west of the temple town of Udupi. Malpe's beaches are washed clean everyday by the sea. The waves ensure that nothing gets left behind on the sands. But then, the waves cannot reach everything. It is the time of the year when Udupi and its surroundings are decked up to celebrate Sri Krishna Janmaashtami (The Birth of Lord Krishna). Men and children walk the streets dressed up as characters from mythology. Teams painted as tigers are seen dancing to drum beats all around the town. But violence seems to be brewing in Malpe this Krishna Janmaashtami and it is going change the lives of the ones' involved forever.Written byAnonymous","A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it."
Coco,"Despite his family's baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.Written byDisney/Pixar","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Django Unchained,"In 1858, a bounty-hunter named King Schultz seeks out a slave named Django and buys him because he needs him to find some men he is looking for. After finding them, Django wants to find his wife, Broomhilda, who along with him were sold separately by his former owner for trying to escape. Schultz offers to help him if he chooses to stay with him and be his partner. Eventually they learn that she was sold to a plantation in Mississippi. Knowing they can't just go in and say they want her, they come up with a plan so that the owner will welcome them into his home and they can find a way.Written byrcs0411@yahoo.com","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
The Dark Knight Rises,"Despite his tarnished reputation after the events of The Dark Knight (2008), in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its Police force, which is struggling to cope with Bane's plans to destroy the city.Written byWellardRockard","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
3 Idiots,"Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.Written byrAjOo (gunwanti@hotmail.com)","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Demon Slayer: Le train de l'infini,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, board the Infinity Train on a new mission with the Flame Pillar, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
Khuda Kay Liye,"After going through a bitter divorce through a Caucasian wife, U.K.-based Hussain Shah now lives in a common-law relationship with another Caucasian woman. Angered that his daughter, Mary, is dating a Caucasian male, Dave, he counsels her to stop seeing him as it is forbidden for women to marry outside Islam. But when Mary persists, he relents and permits her to marry, provided she travels with him to Lahore, Pakistan, to meet his estranged mother and brother, to which she agrees. Once there, Mary is then taken to a remote area in Afghanistan and forced to marry her cousin, Sarmad Khan, a singing artiste, who has turned conservative after being influenced by Moulana Tahiri. Sarmad's brother, Mansoor, re-locates to Chicago, to enroll for music lessons with Professor Lincoln, meets with Caucasian fellow-student, Janie, and both fall in love with each other. Than the events of 9-11 will result in Mansoor's arrest by the CIA. He is isolated, humiliated, fed pork, tortured endlessly until ...Written byrAjOo (gunwanti@hotmail.com)",A drama about three stories centered on the effects of extremism and 9/11 on Pakistanis.
Agent Sai Srinivasa Athreya,Agent Athreya (Navin Polisetty) starts a detective agency in Nellore (a city) named FBI (Fathima Bureau of Investigation) and covers small cases. The silliness and façade continue until Athreya lands in trouble when he seriously pursues a dead found on the rails. How Athreya untangles the mystery is what the film is all about.Written byvamsikvk,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.
Taare Zameen Par,"Ishaan Awasthi is an eight-year-old child whose world is filled with wonders that no one else seems to appretiate are just not important in the world of adults, who are much more interested in things like homework, marks and neatness. And Ishaan just cannot seem to get anything right in class. When he gets into far more trouble than his parents can handle, he is packed off to a boarding school to 'be disciplined'. Things are no different at his new school, and Ishaan has to contend with the added trauma of separation from his family. One day a new art teacher bursts onto the scene, Ram Shankar Nikumbh, who infects the students with joy and optimism. He breaks all the rules of 'how things are done' by asking them to think, dream and imagine, and all the children respond with enthusiasm, all except Ishaan. Nikumbh soon realizes that Ishaan is very unhappy, and he sets out to discover why. With time, patience and care, he ultimately helps Ishaan find himself.","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
WALL·E,"In a distant, but not so unrealistic, future where mankind has abandoned earth because it has become covered with trash from products sold by the powerful multi-national Buy N Large corporation, WALL-E, a garbage collecting robot has been left to clean up the mess. Mesmerized with trinkets of Earth's history and show tunes, WALL-E is alone on Earth except for a sprightly pet cockroach. One day, EVE, a sleek (and dangerous) reconnaissance robot, is sent to Earth to find proof that life is once again sustainable. WALL-E falls in love with EVE. WALL-E rescues EVE from a dust storm and shows her a living plant he found amongst the rubble. Consistent with her ""directive"", EVE takes the plant and automatically enters a deactivated state except for a blinking green beacon. WALL-E, doesn't understand what has happened to his new friend, but, true to his love, he protects her from wind, rain, and lightning, even as she is unresponsive. One day a massive ship comes to reclaim EVE, but WALL-E, ...","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Bizim Aile,A love story between a poor man and a rich girl. The rich girl's father tries to prevent their marriage and he declares a war against the poor boy's family.,A love story between a poor man and a rich girl. The rich girl's father tries to prevent their marriage and he declares a war against the poor boy's family.
La Vie des autres,"Gerd Wiesler is an officer with the Stasi, the East German secret police. The film begins in 1984 when Wiesler attends a play written by Georg Dreyman, who is considered by many to be the ultimate example of the loyal citizen. Wiesler has a gut feeling that Dreyman can't be as ideal as he seems, and believes surveillance is called for. The Minister of Culture agrees but only later does Wiesler learn that the Minister sees Dreyman as a rival and lusts after his partner Christa-Maria. The more time he spends listening in on them, the more he comes to care about them. The once rigid Stasi officer begins to intervene in their lives, in a positive way, protecting them whenever possible. Eventually, Wiesler's activities catch up to him and while there is no proof of wrongdoing, he finds himself in menial jobs - until the unbelievable happens.Written bygarykmcd","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
Kad porastem bicu Kengur,"The film consists of three parallel stories that are interwoven and played in Vozdovac. In the first story, Braca tries to seduce Iris, a model from the city center. Although they try not to be ""two worlds"" they certainly are. In another story, Dule i Somi, in the football match Eastwich - Manchester, they bet on Eastwich because their goalkeeper is a close friend. The third story takes place on the roof of the skyscraper where Avaks and Hybrid, proponents of the philosophy of ""most cost effective when I'm sitting in the house - no income, but no expenses"", spending the day doing nothing, expecting something to happen. Something happened - an unusual occurrence Avaks saw in the sky ...Written byNikola Popovic","During one peculiar night, the lives of several interconnected people are changed, as they rapidly experience love, disappointment, joy, greed and remorse."
Pithamagan,"Chittan (Vikram) is born to a vagrant in a cemetery, who dies soon after. Raised with no contact to the outside world except with dead bodies, he grows up inept at social interaction. An acquaintance with a neighborhood drug dealer Gomathi (Sangitha) gets him a job as a handyman in a cannabis farm. Chittan ends up in jail where he makes his first real friendship - with a conman Shakti (Surya). When Chitthan and Sakthi try to step out of their lives of illicit activities, the local drug-lord interferes.Written byAnonymous","Chittan, a social outcast, has grown up in a cemetery. A drug dealer finds him a job in a cannabis farm. In prison, he meets a conman, Shakti. This friendship transforms him from his stony existence."
Old Boy,"Abducted on a rainy night in 1988, the obnoxious drunk, Oh Dae-Su, much to his surprise, wakes up locked in a windowless and dilapidated hotel room, for an unknown reason. There, his invisible and pitiless captors will feed him, clothe him, and sedate him to avert a desperate suicide--and as his only companion and a window to the world is the TV in his stark cell--the only thing that helps Oh Dae-Su keep going is his daily journal. Then, unexpectedly, after fifteen long years in captivity, the perplexed prisoner is deliberately released, encouraged to track down his tormentor to finally get his retribution. However, who would hate Oh Dae-Su so much he would deny him of a quick and clean death?Written byNick Riganas","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Kannathil Muthamittal,"Dhileepan and Shyama are Tamil-speaking residents of Mankulam, Sri Lanka, who get married with the blessings of their respective families. After the marriage, Shyama confides that she would like to be a mother of eight children, but she is stunned when her husband tells her that he cannot father any children until there is peace between the mainstream and the Tamils in this country. Nevertheless, they do get intimate, which results in Shyama getting pregnant. Dhileepan goes into hiding because of his connections with the Tamil Tigers, while Shyama returns to her father's house. A storm threatens their village, and they are forced to flee to a Refugee Camp in Rameswaram, India. Alone, without any support, Shyama gives birth to a girl, leaves her, and returns to Sri Lanka to be with her husband. The child gets noticed by noted Tamil author Thiruchelvan, who lives with his sister, her husband, and their son and writes books under the pen-name of Indra, who is actually an attractive TV ...Written byrAjOo (gunwanti@hotmail.com)","A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists."
Mrtav 'ladan,"Lemi and Kiza are two brothers who have to bring their dead grandfather from Belgrade to Vrsac, and having spent all their money, they decide to smuggle the body by train. They dress the grandfather and put the body on the train and tell everyone that he is sleeping. After Lemi and Kiza go to drink in the dining car, a drug dealer Limeni fearing police, inserts a drug package in the grandfather's pocket. The train suddenly brakes and a case falls directly on grandfather's head. Other passengers, thinking that it killed him, frenetically throw his body out of the window, under the pretext that the grandfather got up and walked out. Then a search for the grandfather's body starts, but it will not be easy.Written byNikola Popovic","Two brothers, Lemi and Kiza, having spent all their money, try to relocate their dead grandfather from Belgrade to Vrsac at the lowest cost, but he goes missing along the way."
Kapicilar Krali,"A janitor/doorman and his family who came to ""big city"" Istanbul, with the hope to live a better life. With the different characters living in the building, the story evolves around the doorman and his tricky ways to skip work but make some extra cash on the side","A janitor/doorman and his family who came to ""big city"" Istanbul, with the hope to live a better life. With the different characters living in the building, the story evolves around the ...                See full summary »"
Memento,"Memento chronicles two separate stories of Leonard, an ex-insurance investigator who can no longer build new memories, as he attempts to find the murderer of his wife, which is the last thing he remembers. One story line moves forward in time while the other tells the story backwards revealing more each time.Written byScion013",A man with short-term memory loss attempts to track down his wife's murderer.
Macskafogó,"In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have found the weapon against the threat - so Intermouse calls it's best, but now retired agent - Nick Grabowsky - to get the plans. As a distraction for the Cats, they also send a second agent - Seargent Lazy Dick - for the mission.Written byPoisonBorz","In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have ...                See full summary »"
Princesse Mononoké,"While protecting his village from rampaging boar-god/demon, a confident young warrior, Ashitaka, is stricken by a deadly curse. To save his life, he must journey to the forests of the west. Once there, he's embroiled in a fierce campaign that humans were waging on the forest. The ambitious Lady Eboshi and her loyal clan use their guns against the gods of the forest and a brave young woman, Princess Mononoke, who was raised by a wolf-god. Ashitaka sees the good in both sides and tries to stem the flood of blood. This is met by animosity by both sides as they each see him as supporting the enemy.Written byChristopher Taguchi","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Sátántangó - Le Tango de Satan,"In a small, dilapidated village in 1990s Hungary, life has come to a virtual stand-still. The Autumn rains have started. A few of the villagers expect to receive a large cash payment that evening, and then plan to leave. Some want to abscond earlier with more than their fair share of the money. However they hear that the smooth-talking Irimias, who they thought had died, is returning. They are apprehensive that he will take all their money in one of his grandiose schemes to keep the community going.Written byWill Gilbert","On the eve of a large payment, residents of a collapsing collective farm see their plans turn into desolation when they discover that Irimiás, a former co-worker who they thought was dead, is returning to the community."
Mi nismo andjeli,Angel and the devil fight for the soul of a Belgrade playboy who made a young girl pregnant.,Angel and the devil fight for the soul of a Belgrade playboy who made a young girl pregnant.
A Brighter Summer Day,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.","Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax."
Ne tirez pas sur le cerf-volant,"Baris, a 5 year-old little boy, has to stay in a prison with her mother during her detention period. Baris develops a special relationship with Inci, a young woman who also stays in prison. She promises him that the kite will fly someday.","Baris, a 5 year-old little boy, has to stay in a prison with her mother during her detention period. Baris develops a special relationship with Inci, a young woman who also stays in prison. She promises him that the kite will fly someday."
Il était une fois en Amérique,"With the vivid memory of his long-gone childhood friends, Max, Patsy, and Cockeye, etched in his mind, his ferociously loyal partners-in-crime during their rise to prominence in New York's Prohibition-era Lower East Side, the defeated, penniless, and guilt-ridden former gangster, David ""Noodles"" Aaronson, returns to Manhattan. Not knowing what to expect, while on a mission to shed light on his opaque past, grizzled Noodles reunites with his only living friend, Fat Moe, after thirty-five haunted years of self-exile. However, the relentless, piercing sound of culpability stands in the way of finding closure, as the inscrutable content of a well-worn leather suitcase further complicates matters. And now, against the backdrop of a torn conscience, the sad and bittersweet recollections of more than fifty years of love, death, and everything in between, become inextricably intertwined, leading to even more puzzling questions. But, what are a man's options when he is left with nothing?Written byNick Riganas","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
Jaane Bhi Do Yaaro,"Vinod (Naseeruddin Shah) and Sudhir (Ravi Baswani) are two professional photographers trying to start a photo studio. The first real assignment that they get, from the activist magazine Khabardar (literally meaning beware), draws them into the shady world of Bombay real estate. They discover that one of the biggest builders in Bombay, Tarneja, is trying to bribe Municipal Commissioner D'Mello (Satish Shah) into giving him a bridge contract. Meanwhile D'Mello is negotiating with Tarneja's arch rival Ahuja (Om Puri). The contract is finally awarded to a third person. By chance Vinod and Sudhir find out that Tarneja has murdered D'Mello...Written by<bagchi@jhu.edu>","Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light."
Les Aventuriers de l'arche perdue,"The year is 1936. An archeology professor named Indiana Jones is venturing in the jungles of South America searching for a golden statue. Unfortunately, he sets off a deadly trap but miraculously escapes. Then, Jones hears from a museum curator named Marcus Brody about a biblical artifact called The Ark of the Covenant, which can hold the key to humanly existence. Jones has to venture to vast places such as Nepal and Egypt to find this artifact. However, he will have to fight his enemy Rene Belloq and a band of Nazis in order to reach it.Written byJohn Wiggins","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
Shining,"Haunted by a persistent writer's block, the aspiring author and recovering alcoholic, Jack Torrance, drags his wife, Wendy, and his gifted son, Danny, up snow-capped Colorado's secluded Overlook Hotel after taking up a job as an off-season caretaker. As the cavernous hotel shuts down for the season, the manager gives Jack a grand tour, and the facility's chef, the ageing Mr Hallorann, has a fascinating chat with Danny about a rare psychic gift called ""The Shining"", making sure to warn him about the hotel's abandoned rooms, and, in particular, the off-limits Room 237. However, instead of overcoming the dismal creative rut, little by little, Jack starts losing his mind, trapped in an unforgiving environment of seemingly endless snowstorms, and a gargantuan silent prison riddled with strange occurrences and eerie visions. Now, the incessant voices inside Jack's head demand sacrifice. Is Jack capable of murder?Written byNick Riganas","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Apocalypse Now,"It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him. Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will...Written byDerek O'Cain",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Alien - Le 8ème passager,"In the distant future, the crew of the commercial spaceship Nostromo are on their way home when they pick up a distress call from a distant moon. The crew are under obligation to investigate and the spaceship descends on the moon afterwards. After a rough landing, three crew members leave the spaceship to explore the area on the moon. At the same time as they discover a hive colony of some unknown creature, the ship's computer deciphers the message to be a warning, not a distress call. When one of the eggs is disturbed, the crew realizes that they are not alone on the spaceship and they must deal with the consequences.Written byblazesnakes9","After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
Ivan Vassilievitch change de profession,"Shurik Timofeev builds a working model of a time machine. By accident, Ivan Bunsha, an apartment complex manager, and George Miloslavsky, a petty burglar, are transferred to the 16th century Moscow, while Tsar Ivan the Terrible goes into the year 1973.Written byDmitry Zharkov <dmitry@pharm.sunysb.edu>","An ordinary Soviet building manager, living in the 20th century, is extremely similar to Tsar of All Rus' - Ivan IV the Terrible (1530 - 1584). He would never have known about this, but one day his neighbor created a time machine."
La dernière croisade,"An epic fresco depicting the reign (1593-1601) of Mihai Pätrascu (better known as ""Mihai Viteazul"" / ""Michael the Brave""), the famous prince who united the three provinces: Transalpine Vallachia, Transylvania and Moldavia, into the country of Romania, at the end of the 16th century (1599-1601) against the opposition of the Ottoman and Austrian Empires, this movie features large scale battle scenes mixed with political intrigues, murderous treachery, and family drama.Written byPeter Reiher & Mihnea Columbeanu","At the end of the 16th century Wallachian ruler Prince Michael the Brave overcame the adversity of the Ottoman and Austrian Empires to unite Wallachia, Moldavia and Transylvania into one country."
Le bras de diamant,"Semyon Gorbunkov goes on a cruise. In Istanbul, he slips and breaks his arm. What he didn't know is that this was a signal for a gang of smugglers (a real smuggler - Gena - was also on board the same ship). So his arm gets bandaged with gold and diamonds. After he returns home, the gangsters are trying to get their stuff back, while the police try to catch them using Gorbunkov and his arm.Written byBoris Shafir <shafir@hsi.com>",An ordinary Soviet citizen accidentally intervenes into a huge operation of international criminal group that trades illegally obtained jewelry.
Rébellion,"During peace in 1725, aging swordsman Isaburo is living a henpecked life when his clan lord requests that Isaburo's son marry the lord's mistress, with whom he's displeased, even though she's born him a son. Isaburo wants to refuse, but his son Yogoro accepts the woman, Ichi, and they fall deeply in love. Their love renews Isaburo, so when the clan lord's elder son dies and the lord sends for Ichi to return to his side as mother of his heir, Isaburo opposes his lord. Yogoro and Ichi, who now have a baby daughter, stand with him. The clan orders their suicide, then sends soldiers to kill them. Isaburo's only hope is to take his case to Edo to expose the clan's cruelty. Can he?Written by<jhailey@hotmail.com>","The mother of a feudal lord's only heir is kidnapped away from her husband by the lord. The husband and his samurai father must decide whether to accept the unjust decision, or risk death to get her back."
La prisonnière du Caucase,"In this comic story, nerdy Shurik travels to the Caucasus in search of native legends and folklore. But what he finds is a beautiful girl whom, due to intoxication and deceit of the local ""gang"", he ends up literally stealing for the local deceitful governor. All the time Shurik thinks that it is all just a one old Caucasian custom. When he, finally, realizes what he did he goes out in search for the girl of his dreams.Written byPtah Hoteb <ptah_@hotmail.com>","A young student Shurik comes to a remote mountainous region in search of ancient legends and traditions. Fooled by the corrupt local governor, he helps him to kidnap a beautiful young girl, but soon realizes what he's done."
Guide,"After being released from prison for Forgery and Theft, multi-linguist Raju (Dev Anand) reflects on his life as a Guide; his meeting with the daughter of a prostitute, Rosie (Waheeda Rehman), who was unhappily married to Marco (Kishore Sahu) and wants to take up acting and dancing as a career. Rosie separates and moves in with Raju and his mother (Leela Chitnis). They both re-locate and with Raju's encouragement, she succeeds in an acting and dancing career resulting in both becoming very wealthy. He then succumbs to gambling and alcohol and forges Rosie's signature. He is arrested, tried in court, found guilty and imprisoned. Now discharged from prison, he changes his mind about returning home to his mother and decides to go elsewhere and start afresh - a decision that will alter his life and way of thinking forever.Written byrAjOo (gunwanti@hotmail.com)","When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers."
Barberousse,"It's the early nineteenth century, and young Dr. Noboru Yasumoto has been summoned for a reason unknown to him to rural Koishikawa Medical Clinic from Nagasaki, where he has been stationed for three years completing his internship. The clinic, headed by the outwardly stern Dr. Kyojô Niide - nicknamed ""Red Beard"" for that attribute - under his very strict guidelines, treats the poor and disadvantaged of the region. Much to his surprise and dismay, Yasumoto is told he is to start work there immediately, staff, including doctors, living on site. As he was expecting a position as a physician for a shogunate in his privilege, Yasumoto shows his displeasure at this fate at every turn. He believes this fate was either orchestrated directly by Red Beard in solely wanting access to his detailed professional notes - Yasumoto believing he a much better doctor than his new, more experienced superior - or by the father of a female acquaintance in an effort to get rid of him. Yasumoto may get a ...Written byHuggo","In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern."
Entre le ciel et l'enfer,"A wealthy businessman is told his son has been kidnapped and he will have to pay a very large sum for him to be returned safely. It is then discovered that his son is safe at home: the kidnapper took his chauffeur's son by accident. The kidnapper says this makes no difference: pay up or the child dies. This leaves him with a moral dilemma, as he really needs the money to conclude a very important business deal.Written bygrantss",An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,"Paranoid Brigadier General Jack D. Ripper of Burpelson Air Force Base, believing that fluoridation of the American water supply is a Soviet plot to poison the U.S. populace, is able to deploy through a back door mechanism a nuclear attack on the Soviet Union without the knowledge of his superiors, including the Chair of the Joint Chiefs of Staff, General Buck Turgidson, and President Merkin Muffley. Only Ripper knows the code to recall the B-52 bombers and he has shut down communication in and out of Burpelson as a measure to protect this attack. Ripper's executive officer, RAF Group Captain Lionel Mandrake (on exchange from Britain), who is being held at Burpelson by Ripper, believes he knows the recall codes if he can only get a message to the outside world. Meanwhile at the Pentagon War Room, key persons including Muffley, Turgidson and nuclear scientist and adviser, a former Nazi named Dr. Strangelove, are discussing measures to stop the attack or mitigate its blow-up into an all ...Written byHuggo",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
Témoin à charge,"Ailing barrister Sir Wilfrid Robarts is thrust back into the courtroom in what becomes one of the most unusual and eventful murder case of the lawyer's career when he finds himself defending Leonard Vole, a man being tried for the murder of a wealthy woman. With Robarts choosing to represent him, the two find themselves up against Leonard's cold-hearted wife, Christine - who, in a surprising turn of events, chooses to appear in court against her husband.Written byKyle Perez",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Assoiffé,"Unemployed Vijay is the youngest in his family consisting of his widowed mom, and two brothers. His passion is poetry - frowned upon by his brothers - who want him to find gainful employment instead. Vijay's poems are quite radical in which he laments about the poor, the destitute, and the arrogance of the rich after the departure of the British from India. His efforts to get them published are in vain. He takes to drinking, gets in trouble with the law, is disowned by his brothers, ends up at a brothel and befriends a prostitute named Gulabo. Gulabo is sympathetic, listens to him as he pours his heart out, and decides to assist Vijay. Watch what happens when Gulabo approaches some of her affluent clientèle to assist Vijay and try and get his work published, without revealing that they are written by an alcoholic, disheveled, homeless man.Written byrAjOo (gunwanti@hotmail.com)",A talented but indigent poet Vijay struggles for love and recognition in this selfish world.
Les sentiers de la gloire,The futility and irony of the war in the trenches in WWI is shown as a unit commander in the French army must deal with the mutiny of his men and a glory-seeking general after part of his force falls back under fire in an impossible attack.Written byKeith Loh <loh@sfu.ca>,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
L'invaincu,"After living awhile in Benares, 10 year old Apu and his mother move in with her uncle in a small Bengali village. Apu enters a local school, where he does well. By the time he graduates, he has a scholarship to study at a college in Calcutta. So off he goes. His mother is torn by his leaving, and by his growing independence. She loves her son very much and wants him to succeed, but she does not want to be left alone.Written byJohn Oswalt <jao@jao.com>","Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone."
L'Intendant Sansho,"In mediaeval Japan a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression.Written byDavid Levene <D.S.Levene@durham.ac.uk>","In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression."
Boulevard du Crépuscule,"In Hollywood of the 50's, the obscure screenplay writer Joe Gillis is not able to sell his work to the studios, is full of debts and is thinking in returning to his hometown to work in an office. While trying to escape from his creditors, he has a flat tire and parks his car in a decadent mansion in Sunset Boulevard. He meets the owner and former silent-movie star Norma Desmond, who lives alone with her butler and driver Max Von Mayerling. Norma is demented and believes she will return to the cinema industry, and is protected and isolated from the world by Max, who was her director and husband in the past and still loves her. Norma proposes Joe to move to the mansion and help her in writing a screenplay for her comeback to the cinema, and the small-time writer becomes her lover and gigolo. When Joe falls in love for the young aspirant writer Betty Schaefer, Norma becomes jealous and completely insane and her madness leads to a tragic end.Written byClaudio Carvalho, Rio de Janeiro, Brazil",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Les enfants du paradis,"Strolling indolently around the 1830s vibrant Parisian avenue called the Boulevard du Crime, the graceful and elusive courtesan, Garance, finds herself wrongfully accused of pickpocketing. But, amid a sea of jugglers, sideshow performers, streetwalkers, and crooks, the silently eloquent mime, Baptiste, comes to her rescue, only to hopelessly fall for her. And just like that, love's sweet torture befalls the delicate pantomimist, as the insufferable burden of knowing that the object of his desire can never belong to anyone, will heartlessly haunt him for years to come. Many have tried to seize her heart--the flamboyant thespian, Frédérick Lemaître; the criminal dandy, Pierre-François Lacenaire, and the imperious but loveless Count, Édouard de Montray--however, Garance, after so many barren years, now seems to need only one man. In the end, trusting a frail and modest rose is beautiful but cruel. Is there anyone who can accept the naked truth of an unrequited love?Written byNick Riganas",The theatrical life of a beautiful courtesan and the four men who love her.
